top - 00:04:26 up  1:26,  1 user,  load average: 0.01, 0.09, 0.15
Tasks: 316 total,   1 running, 315 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.0 us,  0.0 sy,  0.0 ni,100.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   3867.7 total,    202.3 free,   2134.5 used,   1715.4 buff/cache     
MiB Swap:   3771.0 total,   3770.5 free,      0.5 used.   1733.2 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   7360 dev-jsd+  20   0   23168   5516   3468 R  10.0   0.1   0:00.01 top
      1 root      20   0   23056  14160   9552 S   0.0   0.4   0:04.61 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.05 kthreadd
      3 root      20   0       0      0      0 S   0.0   0.0   0:00.00 pool_wo+
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      7 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     12 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
     13 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     14 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     15 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     16 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     17 root      20   0       0      0      0 S   0.0   0.0   0:00.15 ksoftir+
     18 root      20   0       0      0      0 I   0.0   0.0   0:01.00 rcu_pre+
     19 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_exp+
     20 root      20   0       0      0      0 S   0.0   0.0   0:00.01 rcu_exp+
     21 root      rt   0       0      0      0 S   0.0   0.0   0:00.03 migrati+
     22 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     23 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     24 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     25 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     26 root      rt   0       0      0      0 S   0.0   0.0   0:01.09 migrati+
     27 root      20   0       0      0      0 S   0.0   0.0   0:00.17 ksoftir+
     29 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     32 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmp+
     33 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     34 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kauditd
     35 root      20   0       0      0      0 S   0.0   0.0   0:00.00 khungta+
     36 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_rea+
     39 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     40 root      20   0       0      0      0 S   0.0   0.0   0:00.51 kcompac+
     41 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
     42 root      39  19       0      0      0 S   0.0   0.0   0:00.00 khugepa+
     43 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     44 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     45 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     46 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/9-a+
     48 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     49 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     50 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     51 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     52 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     53 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     54 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 watchdo+
     57 root      20   0       0      0      0 S   0.0   0.0   0:00.26 kswapd0
     58 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ecryptf+
     59 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     60 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/24-+
     61 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/25-+
     62 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/26-+
     63 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/27-+
     64 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/28-+
     65 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/29-+
     66 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/30-+
     67 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/31-+
     68 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/32-+
     69 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/33-+
     70 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/34-+
     71 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/35-+
     72 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/36-+
     73 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/37-+
     74 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/38-+
     75 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/39-+
